timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-16T00:00:00.000Z";"2024-05-16T23:59:59.999Z";"2024-05-16T00:12:00.000Z";"2024-05-16T22:12:00.000Z";"2781";3036.0142297058;3041.807099496;2925.0873652579;2945.1310661054;13035465175.78;353765184523.58;"2024-05-16T23:59:59.999Z"
"2024-05-15T00:00:00.000Z";"2024-05-15T23:59:59.999Z";"2024-05-15T23:47:00.000Z";"2024-05-15T00:55:00.000Z";"2781";2881.2246343025;3041.6023150821;2864.7354452775;3037.0566448959;14666902956.29;364676122807.42;"2024-05-15T23:59:59.999Z"
"2024-05-14T00:00:00.000Z";"2024-05-14T23:59:59.999Z";"2024-05-14T01:41:00.000Z";"2024-05-14T17:40:00.000Z";"2781";2949.2131761383;2959.5465554562;2863.5458419329;2881.1580525016;12444516140.08;346078259351.88;"2024-05-14T23:59:59.999Z"
"2024-05-13T00:00:00.000Z";"2024-05-13T23:59:59.999Z";"2024-05-13T09:28:00.000Z";"2024-05-13T03:16:00.000Z";"2781";2928.8140505568;2994.8692125741;2865.1344806789;2949.3595613636;13352264795.07;354239638473.92;"2024-05-13T23:59:59.999Z"
"2024-05-12T00:00:00.000Z";"2024-05-12T23:59:59.999Z";"2024-05-12T16:22:00.000Z";"2024-05-12T07:35:00.000Z";"2781";2911.6582202981;2953.0474655271;2902.2019506494;2928.7020128967;5908941395.24;351783417609.47;"2024-05-12T23:59:59.999Z"
"2024-05-11T00:00:00.000Z";"2024-05-11T23:59:59.999Z";"2024-05-11T15:20:00.000Z";"2024-05-11T11:18:00.000Z";"2781";2909.8455099469;2942.1786639261;2888.0833685797;2911.6020562027;6795916454.2;349716696912.99;"2024-05-11T23:59:59.999Z"
"2024-05-10T00:00:00.000Z";"2024-05-10T23:59:59.999Z";"2024-05-10T07:04:00.000Z";"2024-05-10T17:52:00.000Z";"2781";3036.2312579481;3052.7294586006;2881.0006336126;2909.791147181;12278653601.04;349493716675.52;"2024-05-10T23:59:59.999Z"
"2024-05-09T00:00:00.000Z";"2024-05-09T23:59:59.999Z";"2024-05-09T22:49:00.000Z";"2024-05-09T11:05:00.000Z";"2781";2973.9716830647;3057.9583614477;2951.2239595125;3036.0205832059;10861947178.55;364667292116.55;"2024-05-09T23:59:59.999Z"
"2024-05-08T00:00:00.000Z";"2024-05-08T23:59:59.999Z";"2024-05-08T03:46:00.000Z";"2024-05-08T20:46:00.000Z";"2781";3006.315714983;3037.196015902;2938.4727608189;2973.6572439316;11791662157.83;357183876075.5;"2024-05-08T23:59:59.999Z"
"2024-05-07T00:00:00.000Z";"2024-05-07T23:59:59.999Z";"2024-05-07T09:21:00.000Z";"2024-05-07T23:58:00.000Z";"2781";3062.7509501405;3129.0812896364;3003.0136161586;3006.5771141232;11743187337.02;361063137871.36;"2024-05-07T23:59:59.999Z"
"2024-05-06T00:00:00.000Z";"2024-05-06T23:59:59.999Z";"2024-05-06T08:28:00.000Z";"2024-05-06T19:17:00.000Z";"2781";3137.5101427056;3220.152341996;3048.2386139593;3062.7286748572;13008587254.71;367835153604.59;"2024-05-06T23:59:59.999Z"
"2024-05-05T00:00:00.000Z";"2024-05-05T23:59:59.999Z";"2024-05-05T08:51:00.000Z";"2024-05-05T03:31:00.000Z";"2781";3117.6368718395;3170.0551194299;3075.5861688348;3137.2489184783;8783447638.67;376807893129.84;"2024-05-05T23:59:59.999Z"
"2024-05-04T00:00:00.000Z";"2024-05-04T23:59:59.999Z";"2024-05-04T11:02:00.000Z";"2024-05-04T02:08:00.000Z";"2781";3103.6195720379;3167.5411454897;3096.2676040184;3117.5765307871;8283229638.23;374415036159.29;"2024-05-04T23:59:59.999Z"
"2024-05-03T00:00:00.000Z";"2024-05-03T23:59:59.999Z";"2024-05-03T20:51:00.000Z";"2024-05-03T10:44:00.000Z";"2781";2988.1346227032;3127.155372633;2960.1821909195;3103.5421091631;12862183229.23;372726130111.2;"2024-05-03T23:59:59.999Z"
