company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
CMS Energy,451,-21.0,7538.0,1353.0,8813.0,Energy,Jackson,MI,no,no,no,yes,430.0,Garrick J. Rochow,https://www.cmsenergy.com,CMS,20292.2
Arconic,452,24.0,7504.0,-397.0,13900.0,Materials,Pittsburgh,PA,no,no,no,no,476.0,Timothy D. Myers,https://www.arconic.com,ARNC,2690.7
Taylor Morrison Home,453,-1.0,7501.3,663.0,3000.0,Engineering & Construction,Scottsdale,AZ,no,no,yes,yes,452.0,Sheryl D. Palmer,https://www.taylormorrison.com,TMHC,3301.6
American Financial Group,454,-78.0,7462.0,1995.0,6600.0,Financials,Cincinnati,OH,no,no,no,yes,376.0,Carl H. Lindner lll/S. Craig Lindner,https://www.afginc.com,AFG,12367.8
UGI,455,-19.0,7447.0,1467.0,11300.0,Energy,King of Prussia,PA,no,no,no,yes,436.0,Roger Perreault,https://www.ugicorp.com,UGI,7599.1
Science Applications International,456,-44.0,7394.0,277.0,25090.0,Technology,Reston,VA,no,no,yes,yes,412.0,Nazzic S. Keene,https://www.saic.com,SAIC,5166.1
Avantor,457,-19.0,7386.1,572.6,13500.0,Technology,Radnor,PA,no,no,no,yes,438.0,Michael Stubblefield,https://www.avantorsciences.com,AVTR,20629.1
Hanesbrands,458,-26.0,7347.8,77.2,58000.0,Apparel,Winston-Salem,NC,no,no,no,yes,432.0,Stephen B. Bratspies,https://www.hanes.com,HBI,5191.4
Clorox,459,-32.0,7341.0,710.0,9000.0,Household Products,Oakland,CA,no,no,yes,yes,427.0,Linda Rendle,https://www.thecloroxcompany.com,CLX,17108.7
KBR,460,10.0,7339.0,18.0,28000.0,Engineering & Construction,Houston,TX,no,no,no,yes,470.0,Stuart J.B. Bradie,https://www.kbr.com,KBR,7634.9
TravelCenters of America,461,0.0,7336.8,58.5,16540.0,Retailing,Westlake,OH,yes,no,no,yes, ,Jonathan M. Pertchik,https://www.ta-petro.com,TA,637.5
Hertz Global Holdings,462,0.0,7336.0,366.0,23000.0,Retailing,Estero,FL,yes,no,no,yes, ,Stephen M. Scherr,https://www.hertz.com,HTZ,9508.9
Analog Devices,463,18.0,7318.3,1390.4,24700.0,Technology,Wilmington,MA,no,no,no,yes,481.0,Vincent T. Roche,https://www.analog.com,ADI,86441.2
Securian Financial Group,464,-43.0,7317.4,311.5,6941.0,Financials,St. Paul,MN,no,no,no,yes,421.0,Christopher M. Hilger,https://www.securian.com,,
Darden Restaurants,465,-88.0,7196.1,629.3,156883.0,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes,377.0,Ricardo Cardenas,https://www.darden.com,DRI,16980.9
NCR,466,-20.0,7156.0,97.0,38000.0,Technology,Atlanta,GA,no,no,no,yes,446.0,Michael D. Hayford,https://www.ncr.com,NCR,5474.7
Graphic Packaging Holding,466,-31.0,7156.0,204.0,25000.0,Materials,Atlanta,GA,no,no,no,yes,435.0,Michael P. Doss,https://www.graphicpkg.com,GPK,6154.4
Brighthouse Financial,468,-115.0,7142.0,-108.0,1500.0,Financials,Charlotte,NC,no,no,no,no,353.0,Eric T. Steigerwalt,https://www.brighthousefinancial.com,BHF,3958.7
PPL,469,-87.0,7127.0,-1480.0,5607.0,Energy,Allentown,PA,no,no,no,no,382.0,Vincent Sorgi,https://www.pplweb.com,PPL,21001.9
Cintas,470,-60.0,7116.3,1111.0,40000.0,Business Services,Cincinnati,OH,no,no,no,yes,410.0,Todd M. Schneider,https://www.cintas.com,CTAS,43566.7
Xerox Holdings,471,-56.0,7038.0,-455.0,23300.0,Technology,Norwalk,CT,no,no,no,no,415.0,Steve Bandrowczak,https://www.xerox.com,XRX,3123.3
Rockwell Automation,472,-32.0,6997.4,1358.1,24500.0,Industrials,Milwaukee,WI,no,no,no,yes,440.0,Blake D. Moret,https://www.rockwellautomation.com,ROK,32538.4
Citizens Financial Group,473,-92.0,6986.0,2319.0,17463.0,Financials,Providence,RI,no,no,no,yes,381.0,Bruce W. Van Saun,https://www.citizensbank.com,CFG,19135.7
KLA,474,-6.0,6918.7,2078.3,11425.0,Technology,Milpitas,CA,no,no,no,yes,468.0,Richard P. Wallace,https://www.kla.com,KLAC,55170.9
